obsC	timeC	obsI	timeI
1	1978	0	1978
312	1979	0	1979
592	1980	0	1980
2120	1981	0	1981
2104	1982	0	1982
5162	1983	0	1983
2911	1984	0	1984
3970	1985	0	1985
3725	1986	0	1986
4564	1987	0	1987
7797	1988	0	1988
4395	1989	0	1989
5402	1990	0	1990
2367	1991	0	1991
4578	1992	0	1992
2908	1993	0	1993
1800	1994	0	1994
1826	1995	0	1995
481	1996	0	1996
647	1997	0.234	1997
352	1998	0.107	1998
245	1999	0.189	1999
372	2000	0.124	2000
641	2001	0.185	2001
360	2002	0.165	2002
1141	2003	0.278	2003
2855	2004	0.587	2004
3049	2005	0.444	2005
1743	2006	0.486	2006
681	2007	0.241	2007
698	2008	0.357	2008
3356	2009	0.858	2009
1400	2010	0.467	2010
1091	2011	0.492	2011
768	2012	0.293	2012
374	2013	0.355	2013
522	2014	0.509	2014
703	2015	0.312	2015
536	2016	0.278	2016
348	2017	0.201	2017
132	2018	0.102	2018
132	2019	0.120	2019
62	2020	0.044	2020
62	2021	0.017	2021
